key_resp_7.keys,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,id,series_0,series_1,acss_0,acss_1,comparison,id*,Płeć*,Wiek*,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,0,,,0,0,0,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""comma""]",0,[1.6990999999642327],1,0,1,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""comma""]",0,[1.4269000000357437],2,0,2,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""period""]",0,[0.5507999999523463],3,0,3,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""period""]",0,[0.7616999999880818],4,0,4,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""comma""]",0,[0.43200000000001637],5,0,5,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""period""]",0,[0.3523999999762282],6,0,6,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""period""]",0,[0.23019999998814455],7,0,7,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""comma""]",0,[0.3419000000357073],8,0,8,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""comma""]",0,[0.2306000000238555],9,0,9,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""comma""]",0,[0.3410999999642854],10,0,10,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""period""]",0,[0.2663000000119382],11,0,11,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""period""]",0,[0.2541999999880318],12,0,12,0,1
,,,,,,5f19902fd2b95f025c1b0ff3,,,,,,5f19902fd2b95f025c1b0ff3,Kobieta,21,2021-09-06_19h25.49.703,rantool2,2021.1.4,Win32,59.80145916,6135e006383e6ea6c3d06a28,61364e8bec0861deeaaa7597,"[""comma""]",0,[0.2685999999641808],13,0,13,0,1
